人气排序,小说名称,作者,小说类型,总点击数,会员周点击数,总字数,评论数,评分,小说性质,写作进程,授权状态,更新时间
1311,位面养成系统,血战,科幻小说,95530,7,982532,573,0,公众作品,已经完本,Ａ级签约,2016/3/8 15:24
1312,诸神眷恋与遗忘的幻想乡,东土梦月,二次元小说,77484,3,652135,590,0,VIP作品,新书上传,驻站作品,2016/8/6 13:36
1313,小妖进化,小丑的烟灰缸,玄幻小说,184698,2,509341,1272,0,VIP作品,新书上传,Ａ级,2016/1/2 20:56
1314,兽血沸腾,静官,玄幻小说,24810558,126,4729947,7095,9.2,公众作品,已经完本,Ａ级签约,2008/5/2 14:15
1315,诸天,二十四桥明月夜,玄幻小说,141299,25,4849241,701,10,公众作品,已经完本,签约作品,2016/3/26 14:16
1316,机战无限,亦醉,科幻小说,555758,2579,2952621,19229,9.7,公众作品,连载中,Ａ级签约,2016/10/23 17:07
1317,火影之至高无上,天已逝,二次元小说,479143,203,2795485,1373,10,公众作品,连载中,签约作品,2016/10/14 20:18
1318,一睡万年,翔炎,科幻小说,2632184,111,1792424,6178,9.6,公众作品,已经完本,Ａ级签约,2015/7/31 23:16
1319,崛起香港1949,兰山中,都市小说,483432,97,1119129,1536,9.2,公众作品,已经完本,Ａ级签约,2016/3/15 20:01
1320,全职业法神,西瓜切一半,玄幻小说,1150618,88,2146807,4560,9.5,公众作品,已经完本,Ａ级签约,2014/12/13 8:18
1321,韩娱之小保姆,国土部长,都市小说,39010,5,269585,531,0,公众作品,新书上传,Ａ级签约,2016/2/24 9:01
1322,重生之大涅磐,奥尔良烤鲟鱼堡,都市小说,10333029,368,2790641,49919,9.3,公众作品,已经完本,Ａ级签约,2011/10/13 19:41
1323,王牌大明星,浮生若梦1992,都市小说,413003,142,1033349,3611,9.4,公众作品,已经完本,Ａ级签约,2015/11/3 16:30
1324,宠物小精灵之云_,冰火星精灵,二次元小说,82744,30,1366402,1654,10,VIP作品,新书上传,专属作品,2016/10/22 12:54
1325,信仰法则,毒苹果与魔镜,玄幻小说,465890,1,340658,1806,10,公众作品,新书上传,Ａ级签约,2015/6/6 7:05
1326,重生之歌神,革神,职场小说,1436597,128,3942694,4352,9.1,公众作品,已经完本,Ａ级签约,2015/9/1 0:07
1327,好人抽奖系统,证神,都市小说,217999,7,280374,684,8,公众作品,已经完本,Ａ级签约,2015/7/22 16:18
1328,位面神主,墨鱼698,二次元小说,30852,6,95376,758,10,VIP作品,已经完本,专属作品,2015/4/29 23:41
1329,曹贼,庚新,历史小说,9657771,201,3195306,33466,9.3,公众作品,已经完本,Ａ级签约,2015/11/10 11:41
1330,螺旋之座,风暴洋,科幻小说,42729,30,351982,472,10,VIP作品,新书上传,驻站作品,2016/8/13 0:26
1331,东方幻想祭,岩城无月,二次元小说,59075,5,1210455,1880,10,VIP作品,情节展开,专属作品,2016/6/24 1:18
1332,网王之圣经,风子小白,二次元小说,720059,17,938839,3619,10,VIP作品,新书上传,专属作品,2016/2/22 22:09
1333,电影世界里的侠客,炎定终生,科幻小说,781305,500,2286970,3806,9.8,公众作品,新书上传,Ａ级签约,2016/10/23 5:32
1334,鬼吹灯（盗墓者的经历）,本物天下霸唱,灵异小说,20084503,82,931567,5019,8.6,公众作品,已经完本,Ａ级签约,2006/10/24 23:07
1335,篡清,天使奥斯卡,历史小说,12023885,105,2030232,24818,5.4,公众作品,已经完本,Ａ级签约,2009/12/31 22:00
1336,雅骚,贼道三痴,历史小说,5326197,270,1780432,28993,9.7,公众作品,已经完本,Ａ级签约,2013/10/5 10:11
1337,都市至尊系统,一梦一界,都市小说,564077,89,3473204,3040,8.7,公众作品,已经完本,Ａ级签约,2016/1/31 18:35
1338,异界奇妙冒险,悄悄滴进村,奇幻小说,76203,16,1239089,569,10,公众作品,已经完本,Ａ级签约,2015/11/18 23:01
1339,位面匪徒,无色刀,科幻小说,104577,12,863180,643,0,公众作品,已经完本,Ａ级签约,2015/8/29 16:48
1340,末日合成师,时风降雨,科幻小说,131358,33,557074,510,8,公众作品,已经完本,Ａ级签约,2015/6/14 18:31
1341,剑啸仙神路,岱宗君,武侠小说,68899,4,511467,388,0,VIP作品,暂　停,Ａ级,2015/8/30 18:05
1342,高二病也要谈恋爱,马踏燕飞,都市小说,80925,10,1350622,3050,9.7,公众作品,已经完本,Ａ级签约,2016/5/30 13:40
1343,大明星系统,射手座李不二,职场小说,189598,100,2890518,1317,9.7,公众作品,已经完本,签约作品,2016/4/13 12:24
1344,无限杯花样作死大赛,虚幻漫步,科幻小说,144202,6,1711028,1668,10,公众作品,已经完本,Ａ级签约,2015/11/2 0:31
1345,仙傲,雾外江山,仙侠小说,6263875,65,3798987,17136,9.3,公众作品,已经完本,Ａ级签约,2011/3/8 4:24
1346,异界最强系统,雷杀,玄幻小说,330073,140,3775356,3568,10,公众作品,新书上传,Ａ级签约,2016/9/2 19:00
1347,提督大人的星空幻想之旅,重装雷巡北上,科幻小说,61937,2,542817,496,10,公众作品,已经完本,Ａ级签约,2015/7/31 4:01
1348,轮回使徒成长记,黑暗福音,二次元小说,31042,4,284441,383,0,VIP作品,暂停,专属作品,2016/3/25 12:15
1349,二次元没有主角,忘梦的旅人,二次元小说,228090,108,3031458,1989,10,VIP作品,连载中,Ａ级,2016/9/28 3:55
1350,东京_种之夏新池,骨头控,二次元小说,67987,1,121193,683,10,VIP作品,连载中,专属作品,2016/8/29 5:30
1351,帝国法则,污点,奇幻小说,130825,144,2578424,508,9.2,公众作品,连载中,签约作品,2016/1/15 23:39
1352,金庸之庐山祖师,重登,武侠小说,91440,54,250195,231,8,VIP作品,新书上传,驻站作品,2015/7/1 21:13
1353,凌天传说,风凌天下,玄幻小说,13665814,56,2490381,16628,7.6,公众作品,已经完本,Ａ级签约,2010/3/18 21:13
1354,超级黄金瞳,泡不起妞的残狼,都市小说,1371579,191,5060921,3423,9.3,公众作品,新书上传,Ａ级签约,2016/10/20 6:29
1355,火影之大魔王,消逝的过往,二次元小说,192767,22,937865,1522,0,VIP作品,情节展开,专属作品,2016/10/9 20:09
1356,神奇宝贝的新小智,电磁波导,二次元小说,74869,1,412585,260,0,VIP作品,新书上传,专属作品,2015/8/31 12:35
1357,全球偶像,龙要南瓜,职场小说,358471,43,513741,804,9.9,VIP作品,新书上传,专属作品,2016/8/27 22:56
1358,冰火魔厨,唐家三少,奇幻小说,17481696,47,2146458,4890,9.3,公众作品,已经完本,Ａ级签约,2016/1/10 21:04
1359,超级创作大师,普顿,都市小说,797659,103,4644277,6329,9.2,公众作品,已经完本,Ａ级签约,2016/7/23 10:10
1360,我的霜之哀伤不可能这么萌,白夜叉银时,游戏小说,179291,31,3358929,3272,10,公众作品,新书上传,Ａ级签约,2016/10/23 1:56
1361,元首的愤怒,落爷孤独,历史小说,480590,34,1180720,3877,9.8,公众作品,已经完本,Ａ级签约,2016/3/2 17:57
1362,武侠大棋局,键盘上的棋子,科幻小说,157353,11,2271646,1263,10,公众作品,新书上传,Ａ级签约,2016/5/20 19:40
